مِن فَضْلَك,בבקשה
آسِف,סליחה
وَلَا يِهُمَّك,אין בעד מה
لَحْظَة وَاحِدَة,רגע אחד
طَبْعًا,כמובן
مُمْكِن,אולי
أَكِيد,בטח
حَالًا,מיד
مِش دِلْوَقْتِي,לא עכשיו
بَعْدِين,אחר כך
هِنَا,כאן
هُنَاك,שם
النَّهَارْدَه,היום
بُكْرَه,מחר
إِمْبَارِح,אתמול
مَعَ السَّلَامَة,להתראות
نِتْكَلِّم بَعْدِين,נדבר אחר כך
أَنَا فِي السِّكَّة,אני בדרך
أَنَا جَاي,אני מגיע
أَنَا مَاشِي,אני יוצא
اِسْتَنَّى شُوَيَّة,חכה רגע
وَلَا يِهُم,לא נורא
بِتِحْصَل,זה קורה
مَعَنْدِيش طَاقَة,אין לי כוח
مَظْبُوط,זה נכון
أَنَا مُوَافِق,אני מסכים
شَاكِلِي,נראה לי
