אִישוּר,Confirmation
לאָשֶר,To confirm
הָבָּקָשָה מאוּשֶרֶת,The application is approved
מאוּשָר = שָׂמֶחָ,Approved = happy
אָנִי לא מָרשֶה,I do not allow
אָנִי מָרשֶה לךָ,I allow you
אָנִי לא מָרשֶה לךָ להִיכָּנֶס לָמִשׂרָד שֶלִי,I do not allow you to enter my office
אָסוּר,Forbidden
אָסוּר לעָשֶן,No smoking
למָלֶא אֶת הָטופֶס ולָחתום,Fill out the form and sign
לָחָכות בָּתור,Wait in line
מִספָּרךָ בָּתור,Your number in line
רֶאָיון עָבודָה,Job interview
להָגִיש בָּקָשָה,Submit an application
הָבָּקָשָה נִדחֶתה,The application was rejected
לבָטֶל בָּקָשָה,Cancel an application
לָחתום עָל מִסמָך,Sign a document
להָצִיג תעוּדָה,Show a document
לָחָכות\להָמתִין בָּתור,Wait in line
קָבָּלָה,Receipt
למָלֶא פּרָטִים,Fill in the details
לבָקֶש רֶשוּת,Ask for permission
להִיכָּנֶס,Enter
לָצֶאת,Exit
שעות פּתִיחָה,Opening hours
שעות קָבָּלָה,Reception hours
