אופָנָיים|Bicycle
אופָנָיים חָשמָלִיות|Electric bicycle
מָנועָ|Engine
אופָנָיים + מָנועָ = אופנועָ|Bicycle + engine = motorcycle
אופָנָיים + מָנועָ קָטָן = קָטנועָ|Bicycle + small engine = scooter
רֶכֶב|Vehicle
מונִית|Taxi
מָשָׂאִית|Truck
מכונִית|Car
נסִיעָה|Ride
לָעָשׂות רִישָיון נהִיגָה|Get a driver's license
הֶגֶה|Steering wheel
גָלגָלִים|Wheels
מושָבִים|Seats
לכָוֶן אֶת הָמושָב|Adjust the seat
לכָוֶן אֶת הָמָראות|Adjust the mirrors
חָגורָת בּטִיחוּת|Seat belt
לָתֶת טרֶמפּ|Give a ride
לָקָחָת טרֶמפּ|Get a ride
לָתֶת גָז \ לָשִׂים גָז|Press the gas / step on the gas
אָל תִסָע מָהֶר|Do not drive fast
אָל תָעָקוף מִיָמִין|Do not overtake on the right
לָמָה אָתָה לא מאותֶת|Why are you not using the turn signal
תִצפּור לו שֶיָזוּז|Honk so he moves
