גָדול,Big
קצָת גָדול,A bit big
יותֶר גָדול,Bigger
הָכִי גָדול,The biggest
גָדול מאוד,Very big
גָדול מִדָי,Too big
פָּחות גָדול,Less big
יָפֶה,Beautiful
יותֶר יָפֶה,More beautiful
הָכִי יָפֶה,The most beautiful
יָפֶה מאוד,Very beautiful
יָפֶה מִדָי,Too beautiful
פָּחות יָפֶה,Less beautiful
קָטָן,Small
קצָת קָטָן,A bit small
יותֶר קָטָן,Smaller
הָכִי קָטָן,The smallest
קָטָן מאוד,Very small
קָטָן מִדָי,Too small
פָּחות קָטָן,Less small
לָבָן,White
קצָת לָבָן,A bit white
יותֶר לָבָן,Whiter
הָכִי לָבָן,The whitest
לָבָן מאוד,Very white
לָבָן מִדָי,Too white
פָּחות לָבָן,Less white
קָל,Easy
יותֶר קָל,Easier
הָכִי קָל,The easiest
קָל מאוד,Very easy
קָל מִדָי,Too easy
פָּחות קָל,Less easy
קָשֶה,Hard
קצָת קָשֶה,A bit hard
יותֶר קָשֶה,Harder
הָכִי קָשֶה,The hardest
קָשֶה מאוד,Very hard
קָשֶה מִדָי,Too hard
פָּחות קָשֶה,Less hard
אָרוך,Long
קצָת אָרוך,A bit long
יותֶר אָרוך,Longer
הָכִי אָרוך,The longest
אָרוך מאוד,Very long
אָרוך מִדָי,Too long
פָּחות אָרוך,Less long
קָצָר,Short
קצָת קָצָר,A bit short
יותֶר קָצָר,Shorter
הָכִי קָצָר,The shortest
קָצָר מאוד,Very short
קָצָר מִדָי,Too short
פָּחות קָצָר,Less short
