פָּחדָן|Cowardly
קצָת פָּחדָן|A bit cowardly
יותֶר פָּחדָן|More cowardly
הָכִי פָּחדָן|The most cowardly
פָּחדָן מאוד|Very cowardly
פָּחדָן מִדָי|Too cowardly
פָּחות פָּחדָן|Less cowardly
רָעֶב|Hungry
קצָת רָעֶב|A bit hungry
יותֶר רָעֶב|More hungry
הָכִי רָעֶב|The most hungry
רָעֶב מאוד|Very hungry
רָעֶב מִדָי|Too hungry
פָּחות רָעֶב|Less hungry
חָמוּד|Cute
יותֶר חָמוּד|Cuter
הָכִי חָמוּד|The cutest
חָמוּד מאוד|Very cute
חָמוּד מִדָי|Too cute
פָּחות חָמוּד|Less cute
עָצלָן|Lazy
קצָת עָצלָן|A bit lazy
יותֶר עָצלָן|Lazier
הָכִי עָצלָן|The laziest
עָצלָן מאוד|Very lazy
עָצלָן מִדָי|Too lazy
פָּחות עָצלָן|Less lazy
חָרוּץ|Hardworking
יותֶר חָרוּץ|More hardworking
הָכִי חָרוּץ|The most hardworking
חָרוּץ מאוד|Very hardworking
חָרוּץ מִדָי|Too hardworking
פָּחות חָרוּץ|Less hardworking
מָתוק|Sweet
קצָת מָתוק|A bit sweet
יותֶר מָתוק|Sweeter
הָכִי מָתוק|The sweetest
מָתוק מאוד|Very sweet
מָתוק מִדָי|Too sweet
פָּחות מָתוק|Less sweet
חָמוּץ|Sour
קצָת חָמוּץ|A bit sour
יותֶר חָמוּץ|More sour
הָכִי חָמוּץ|The most sour
חָמוּץ מאוד|Very sour
חָמוּץ מִדָי|Too sour
פָּחות חָמוּץ|Less sour
מָלוּח|Salty
קצָת מָלוּח|A bit salty
יותֶר מָלוּח|More salty
הָכִי מָלוּח|The most salty
מָלוּח מאוד|Very salty
מָלוּח מִדָי|Too salty
פָּחות מָלוּח|Less salty
