בדיוק אָנִי חוזֶר עִם נָהָג,Right now I am coming back with a driver
הָנָהָג כּועֶס עָל הָכּול,The driver is angry at everything
נִמאָס לִי לִשמועָ אותו,I am tired of listening to him
אָנָחנוּ רָק בָּהָתחָלָת הָנסִיעָה,We are only at the beginning of the trip
אָנִי שָׂם אֶת הָאוזנִיות ונִכנָס לָעולָם שֶלִי,I put on my headphones and enter my own world
אָנִי יודֶעָ שֶלא קָל לִחיות איתי,I know it is not easy to live with me
אָנִי נָעָשָׂה מרוּחָק כּשֶמִישֶהוּ מעָצבֶּן אותִי,I become distant when someone annoys me
יֶש אָנָשִים שֶפָּשוּט מדָבּרִים יותֶר מִדָי,Some people simply talk too much
הָרבֶּה שִׂיחות לא מעָניֶנות אותִי,Many conversations do not interest me
עָכשָיו אָנִי מֶבִין לָמָה אָנִי עָדָיין לבָד,Now I understand why I am still alone
לִפעָמִים עָדִיף לא להָבִין הָכּול,Sometimes it is better not to understand everything
הָעִיר הָעָתִיקָה הָיתָה רֶיקָה,The old city was empty
לא הָיָה אָף אֶחָד בָּרֶחוב,There was no one on the street
זֶה הִרגִיש מוּזָר,It felt strange
יָשָנתִי כִּמעָט כּל הָדֶרֶך,I slept almost the whole way
טֶכנולוגיָה פּותָחָת אֶפשָרוּיות חָדָשות,Technology opens new possibilities
טֶכנולוגיָה משָנָה אֶיך אָנָחנוּ רואִים אֶת הָעולָם,Technology changes how we see the world
עָכשָיו סִיָמתִי לָעָבוד,I have just finished work
הָגוּף שֶלִי מָרגִיש עָיֶף וכָּבֶד,My body feels tired and heavy
לִפעָמִים הָגוּף צָרִיך מנוּחָה ולא פּעוּלָה,Sometimes the body needs rest, not action
לִפנֶי שֶאָתָה יוצֶר מָשֶהוּ אָתָה צָרִיך להָרגִיש,Before you create something, you need to feel
אָנִי בֶּאמֶת לא יודֶעָ מָה אָנִי רוצֶה עָכשָיו,I really do not know what I want right now
אָנִי מָרגִיש מבוּלבָּל,I feel confused
אָנִי צָרִיך שִנוּי,I need a change
בּקָרוב אָנִי עובֶר לדִירָה חָדָשָה,Soon I am moving to a new apartment
הָשִנוּי הָזֶה גורֶם לִי לָחשוב הָרבֶּה,This change makes me think a lot
לִפעָמִים שִנוּי מָקום עוזֶר,Sometimes a change of place helps
אָנִי רָק רוצֶה קצָת שָלוָה,I just want a little peace
אָנִי צָרִיך מֶרחָב לעָצמִי,I need space for myself
אָנִי מאוּשָר אָפִלוּ כּשֶאָנִי בּוכֶה,I am happy even when I cry
