אֲנִי לֹא מֵבִין,I do not understand
זֶה לֹא עוֹבֵד,It does not work
אֵין לִי זְמָן,I do not have time
אֲנִי צָרִיךְ עֶזְרָה,I need help
אֵיפֹה זֶה נִמְצָא,Where is it
כַּמָּה זֶה עוֹלֶה,How much does it cost
אֲנִי מַסְכִּים,I agree
אֲנִי לֹא מַסְכִּים,I do not agree
זֶה חָשׁוּב לִי,It is important to me
אֵין בְּעָיָה,No problem
אֲנִי עָיֵף,I am tired
אֲנִי רָעֵב,I am hungry
אֲנִי צָמֵא,I am thirsty
אֲנִי מְמַהֵר,I am in a hurry
אֲנִי מְאַחֵר,I am late
אֲנִי מֻקְדָּם,I am early
זֶה בָּרוּר לִי,It is clear to me
אֲנִי לֹא זוֹכֵר,I do not remember
אֲנִי מְחַכֶּה לְךָ,I am waiting for you
אֲנִי חוֹזֵר מָחָר,I will come back tomorrow
אֲנִי צָרִיךְ לַחְשׁוֹב,I need to think
תֵּן לִי רֶגַע,Give me a moment
אֶפְשָׁר לַעֲזוֹר לְךָ,Can I help you
תַּסְבִּיר שׁוּב,Explain again
זֶה בְּסֵדֶר,It is okay
אֲנִי מֵבִין עַכְשָׁיו,I understand now
אֵין לִי מוּשָׂג,I have no idea
אֲנִי לֹא בָּטוּחַ,I am not sure
זֶה תָּלוּי,It depends
בּוֹא נַתְחִיל,Let's start
נְסַיֵּם אַחַר כָּךְ,We will finish later
