אָנִי \ אָתָה \ הוּא הולֶך,idę \ idziesz \ idzie
אָנִי \ אָתָה \ הוּא בָּא,przychodzę \ przychodzisz \ przychodzi
אָנִי \ אָתָה \ הוּא עובֶד,pracuję \ pracujesz \ pracuje
אָנִי \ אָתָה \ הוּא לומֶד,uczę się \ uczysz się \ uczy się
אָנִי \ אָתָה \ הוּא רואֶה,widzę \ widzisz \ widzi
אָנִי \ אָתָה \ הוּא שומֶעָ,słyszę \ słyszysz \ słyszy
אָנִי \ אָתָה \ הוּא מדָבֶּר,mówię \ mówisz \ mówi
אָנִי \ אָתָה \ הוּא אוכֶל,jem \ jesz \ je
אָנִי \ אָתָה \ הוּא שותֶה,piję \ pijesz \ pije
אָנִי \ אָתָה \ הוּא כּותֶב,piszę \ piszesz \ pisze
אָנִי \ אָתָה \ הוּא קורֶא,czytam \ czytasz \ czyta
אָנִי \ אָתָה \ הוּא חושֶב,myślę \ myślisz \ myśli
אָנִי \ אָתָה \ הוּא יודֶעָ,wiem \ wiesz \ wie
אָנִי \ אָתָה \ הוּא מֶבִין,rozumiem \ rozumiesz \ rozumie
אָנִי \ אָתָה \ הוּא זוכֶר,pamiętam \ pamiętasz \ pamięta
אָנִי \ אָתָה \ הוּא שוכֶח,zapominam \ zapominasz \ zapomina
אָנִי \ אָתָה \ הוּא אוהֶב,kocham \ kochasz \ kocha
אָנִי \ אָתָה \ הוּא שׂונֶא,nienawidzę \ nienawidzisz \ nienawidzi
אָנִי \ אָתָה \ הוּא קונֶה,kupuję \ kupujesz \ kupuje
אָנִי \ אָתָה \ הוּא מוכֶר,sprzedaję \ sprzedajesz \ sprzedaje
אָנִי \ אָתָה \ הוּא פּותֶח,otwieram \ otwierasz \ otwiera
אָנִי \ אָתָה \ הוּא סוגֶר,zamykam \ zamykasz \ zamyka
אָנִי \ אָתָה \ הוּא מָתחִיל,zaczynam \ zaczynasz \ zaczyna
אָנִי \ אָתָה \ הוּא מסָיֶם,kończę \ kończysz \ kończy
אָנִי \ אָתָה \ הוּא נוסֶעָ,jadę \ jedziesz \ jedzie
אָנִי \ אָתָה \ הוּא חוזֶר,wracam \ wracasz \ wraca
אָנִי \ אָתָה \ הוּא נִשאָר,zostaję \ zostajesz \ zostaje
אָנִי \ אָתָה \ הוּא עוזֶר,pomagam \ pomagasz \ pomaga
אָנִי \ אָתָה \ הוּא מבָקֶש,proszę \ prosisz \ prosi
אָנִי \ אָתָה \ הוּא מקָבֶּל,otrzymuję \ otrzymujesz \ otrzymuje
אָנִי \ אָתָה \ הוּא נותֶן,daję \ dajesz \ daje
אָנִי \ אָתָה \ הוּא מנָסֶה,próbuję \ próbujesz \ próbuje
אָנִי \ אָתָה \ הוּא מחָכֶּה,czekam \ czekasz \ czeka
אָנִי \ אָתָה \ הוּא בּוחֶר,wybieram \ wybierasz \ wybiera
אָנִי \ אָתָה \ הוּא מחָפֶּשׂ,szukam \ szukasz \ szuka
