אָנִי אֶלֶך,pójdę
אָנִי אָבוא,przyjdę
אָנִי אֶעֶבוד,będę pracować
אָנִי אֶלמָד,będę się uczyć
אָנִי אֶראֶה,zobaczę
אָנִי אֶשמָע,usłyszę
אָנִי אָדָבֶּר,będę mówić
אָנִי אוכָל,zjem
אָנִי אֶשתֶה,wypiję
אָנִי אֶכתוב,napiszę
אָנִי אֶקרָא,przeczytam
אָנִי אָחשוב,pomyślę
אָנִי אֶדָע,będę wiedzieć
אָנִי אָבִין,zrozumiem
אָנִי אֶזכּור,zapamiętam
אָנִי אֶשכָּח,zapomnę
אָנִי אוהָב,będę kochać
אָנִי אֶשׂנָא,będę nienawidzić
אָנִי אֶקנֶה,kupię
אָנִי אֶמכּור,sprzedam
אָנִי אֶפתָח,otworzę
אָנִי אֶסגור,zamknę
אָנִי אָתחִיל,zacznę
אָנִי אָסָיֶם,skończę
אָנִי אֶסָע,pojadę
אָנִי אֶחזור,wrócę
אָנִי אֶשָאֶר,zostanę
אָנִי אֶעזור,pomogę
אָנִי אָבָקֶש,poprośę
אָנִי אָקָבֶּל,otrzymam
אָנִי אֶתֶן,dam
אָנִי אָנָסֶה,spróbuję
אָנִי אֶחָכֶּה,poczekam
אָנִי אֶבחָר,wybiorę
אָנִי אָחָפֶּשׂ,poszukam
