פָּחדָן,tchórzliwy
קצָת פָּחדָן,trochę tchórzliwy
יותֶר פָּחדָן,bardziej tchórzliwy
הָכִי פָּחדָן,najbardziej tchórzliwy
פָּחדָן מאוד,bardzo tchórzliwy
פָּחדָן מִדָי,zbyt tchórzliwy
פָּחות פָּחדָן,mniej tchórzliwy
רָעֶב,głodny
קצָת רָעֶב,trochę głodny
יותֶר רָעֶב,bardziej głodny
הָכִי רָעֶב,najbardziej głodny
רָעֶב מאוד,bardzo głodny
רָעֶב מִדָי,zbyt głodny
פָּחות רָעֶב,mniej głodny
חָמוּד,uroczy
יותֶר חָמוּד,bardziej uroczy
הָכִי חָמוּד,najbardziej uroczy
חָמוּד מאוד,bardzo uroczy
חָמוּד מִדָי,zbyt uroczy
פָּחות חָמוּד,mniej uroczy
עָצלָן,leniwy
קצָת עָצלָן,trochę leniwy
יותֶר עָצלָן,bardziej leniwy
הָכִי עָצלָן,najbardziej leniwy
עָצלָן מאוד,bardzo leniwy
עָצלָן מִדָי,zbyt leniwy
פָּחות עָצלָן,mniej leniwy
חָרוּץ,pracowity
יותֶר חָרוּץ,bardziej pracowity
הָכִי חָרוּץ,najbardziej pracowity
חָרוּץ מאוד,bardzo pracowity
חָרוּץ מִדָי,zbyt pracowity
פָּחות חָרוּץ,mniej pracowity
מָתוק,słodki
קצָת מָתוק,trochę słodki
יותֶר מָתוק,słodszy
הָכִי מָתוק,najsłodszy
מָתוק מאוד,bardzo słodki
מָתוק מִדָי,zbyt słodki
פָּחות מָתוק,mniej słodki
חָמוּץ,kwaśny
קצָת חָמוּץ,trochę kwaśny
יותֶר חָמוּץ,bardziej kwaśny
הָכִי חָמוּץ,najbardziej kwaśny
חָמוּץ מאוד,bardzo kwaśny
חָמוּץ מִדָי,zbyt kwaśny
פָּחות חָמוּץ,mniej kwaśny
מָלוּח,słony
קצָת מָלוּח,trochę słony
יותֶר מָלוּח,bardziej słony
הָכִי מָלוּח,najbardziej słony
מָלוּח מאוד,bardzo słony
מָלוּח מִדָי,zbyt słony
פָּחות מָלוּח,mniej słony
